Designator,Val,Package,MidX,MidY,Rotation,Layer
C1,0.1uF,C_0402_1005Metric,334.772,-111.483,90,bottom
C2,0.1uF,C_0402_1005Metric,338.6,-99.8,90,bottom
C3,0.1uF,C_0402_1005Metric,330,-100.8,180,bottom
C4,0.1uF,C_0402_1005Metric,333.502,-111.506,90,bottom
C5,0.1uF,C_0402_1005Metric,339.8,-109.6,0,bottom
C6,0.1uF,C_0402_1005Metric,339.7855,-108.45475,0,bottom
C7,4.7uF,C_0402_1005Metric,330,-99.6,180,bottom
C8,1uF,C_0402_1005Metric,341.6,-61.4,270,bottom
C9,1uF,C_0402_1005Metric,335.28,-61.4045,270,bottom
D1,D,D_SOD-123,165.1,-53.34,90,bottom
D2,D,D_SOD-123,184.15,-53.34,90,bottom
D3,D,D_SOD-123,203.2,-53.34,90,bottom
D4,D,D_SOD-123,222.25,-53.34,90,bottom
D5,D,D_SOD-123,241.3,-53.34,90,bottom
D6,D,D_SOD-123,260.35,-53.34,90,bottom
D7,D,D_SOD-123,279.4,-53.34,90,bottom
D8,D,D_SOD-123,298.45,-53.34,90,bottom
D9,D,D_SOD-123,317.5,-53.34,90,bottom
D10,D,D_SOD-123,336.55,-53.34,90,bottom
D11,D,D_SOD-123,363.22,-58.42,180,bottom
D12,D,D_SOD-123,382.27,-53.34,90,bottom
D13,D,D_SOD-123,167.64,-72.39,90,bottom
D14,D,D_SOD-123,189.23,-72.39,90,bottom
D15,D,D_SOD-123,208.28,-72.39,90,bottom
D16,D,D_SOD-123,227.33,-72.39,90,bottom
D17,D,D_SOD-123,246.38,-72.39,90,bottom
D18,D,D_SOD-123,265.43,-72.39,90,bottom
D19,D,D_SOD-123,284.48,-72.39,90,bottom
D20,D,D_SOD-123,303.53,-72.39,90,bottom
D21,D,D_SOD-123,322.58,-72.39,90,bottom
D22,D,D_SOD-123,341.63,-72.39,90,bottom
D23,D,D_SOD-123,360.68,-72.39,90,bottom
D24,D,D_SOD-123,384.175,-72.39,90,bottom
D25,D,D_SOD-123,172.085,-91.44,90,bottom
D26,D,D_SOD-123,198.12,-91.44,90,bottom
D27,D,D_SOD-123,217.17,-90.805,90,bottom
D28,D,D_SOD-123,236.22,-90.805,90,bottom
D29,D,D_SOD-123,255.27,-90.805,90,bottom
D30,D,D_SOD-123,274.32,-90.805,90,bottom
D31,D,D_SOD-123,293.37,-90.805,90,bottom
D32,D,D_SOD-123,312.42,-90.805,90,bottom
D33,D,D_SOD-123,331.47,-90.805,90,bottom
D34,D,D_SOD-123,350.52,-91.44,90,bottom
D35,D,D_SOD-123,369.57,-90.805,90,bottom
D36,D,D_SOD-123,388.62,-90.805,90,bottom
D37,D,D_SOD-123,167.64,-110.49,90,bottom
D38,D,D_SOD-123,191.135,-110.49,90,bottom
D39,D,D_SOD-123,215.265,-110.49,90,bottom
D40,D,D_SOD-123,236.22,-110.49,90,bottom
D41,D,D_SOD-123,255.905,-110.49,90,bottom
D42,D,D_SOD-123,283.845,-110.49,90,bottom
D43,D,D_SOD-123,307.34,-109.22,90,bottom
D44,D,D_SOD-123,359.41,-111.125,180,bottom
D45,D,D_SOD-123,369.57,-110.49,90,bottom
D46,D,D_SOD-123,388.62,-110.49,90,bottom
F1,500mA,Fuse_1206_3216Metric,342.646,-55.88,90,bottom
R1,22,R_0402_1005Metric,336.6135,-96.266,90,bottom
R2,22,R_0402_1005Metric,335.0895,-96.266,270,bottom
R3,5.1k,R_0402_1005Metric,351,-46.6,270,bottom
R4,5.1k,R_0402_1005Metric,347.4,-46.6,270,bottom
R5,10k,R_0402_1005Metric,340.106,-111.252,270,bottom
SW47,SW_Push,SW_SPST_SKQG_WithStem,347.726,-113.03,0,bottom
U1,STM32F072CBTx,LQFP-48_7x7mm_P0.5mm,334.8355,-104.55275,90,bottom
U2,PRTR5V0U2X,SOT143B,349.25,-50.8,180,bottom
U3,XC6206,SOT-23,338.2,-61.4,90,bottom
USB1,HRO-TYPE-C-31-M-12,HRO-TYPE-C-31-M-12-Assembly,349.25,-34.544,0,bottom
